订单号,订单日期,顾客姓名,订单等级,订单数量,销售额,折扣点,运输方式,利润额,单价,运输成本,区域,省份,城市,产品类别,产品子类别,产品名称,产品包箱,运送日期
28992,2015/9/19,胡晓,中级,41,6863.95,0.1,空运,1662.92,178.47,19.99,华北,山西,运城,办公用品,容器，箱子,"Hot File? 7-Pocket, Floor Stand",小型箱子,2015/9/20
28995,2014/5/12,赵和贵,高级,9,298.52,0,火车,73.19,30.98,5.76,华北,内蒙古,通辽,办公用品,纸张,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",小型箱子,2014/5/13
28995,2014/5/12,赵和贵,高级,34,667.35,0.04,火车,80.92,19.98,8.68,东北,辽宁,营口,办公用品,纸张,Southworth 25% Cotton Premium Laser Paper and Envelopes,小型箱子,2014/5/13
28999,2013/1/10,包婧,高级,34,1177.5,0.02,火车,420.05,33.98,1.99,东北,辽宁,营口,技术产品,电脑配件,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",小型包裹,2013/1/11
29028,2015/2/5,王云安,中级,43,17131.36,0.08,大卡,4722.77,400.97,14.7,东北,吉林,通化,技术产品,办公机器,Epson FX-980 Dot Matrix Printer,巨型木箱,2015/2/7
29030,2016/1/2,刘小俊,中级,10,192.58,0.05,火车,24.6,19.84,4.1,东北,辽宁,营口,办公用品,笔、美术用品,Prismacolor Color Pencil Set,打包纸袋,2016/1/3
29058,2014/1/3,何春香,高级,43,287.61,0.02,火车,-101.5,6.48,6.35,东北,辽宁,营口,办公用品,纸张,Xerox 200,小型箱子,2014/1/5
29058,2014/1/3,何春香,高级,23,128.52,0.06,火车,42.8,5.84,1,东北,吉林,通化,办公用品,笔、美术用品,"Quartet Omega? Colored Chalk, 12/Pack",打包纸袋,2014/1/4
29058,2014/1/3,何春香,高级,41,1011.67,0.04,火车,-74.64,24.98,8.79,东北,吉林,通化,办公用品,容器，箱子,2300 Heavy-Duty Transfer File Systems by Perma,小型箱子,2014/1/3
29058,2014/1/3,何春香,高级,33,28389.14,0.07,大卡,7132.18,880.98,44.55,东北,辽宁,营口,家具产品,书架,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",巨型纸箱,2014/1/5
29090,2016/1/16,汤明华,中级,24,99.1,0.02,火车,28.42,4.13,0.99,东北,吉林,通化,办公用品,标签,Avery 491,小型箱子,2016/1/17
29090,2016/1/16,汤明华,中级,36,380.34,0.02,火车,-108.2,10.48,6.91,东北,辽宁,营口,办公用品,容器，箱子,Sterilite Officeware Hinged File Box,小型箱子,2016/1/16
29095,2015/3/8,朱梅芳,其它,40,291.67,0.01,火车,54.4595,6.75,2.99,东北,辽宁,营口,办公用品,夹子及其配件 ,Wilson Jones DublLock? D-Ring Binders,小型箱子,2015/3/9
29120,2014/5/12,邓娟丽,低级,43,1677.27,0.08,火车,528.7935,40.98,7.47,东北,黑龙江,伊春,办公用品,夹子及其配件 ,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",小型箱子,2014/5/14
29120,2014/5/12,邓娟丽,低级,21,1556.08,0.05,大卡,-41.77,70.98,26.74,东北,吉林,通化,家具产品,书架,"Hon Metal Bookcases, Black",巨型纸箱,2014/5/17
29121,2014/4/11,张广庆,中级,31,3206.965,0.08,火车,575.334,125.99,7.69,西南,四川,内江,技术产品,电话通信产品,Timeport L7089,小型箱子,2014/4/13
29127,2013/3/31,邹捷,中级,18,31.13,0.06,火车,-0.81,1.68,1,西南,西藏,拉萨,办公用品,笔、美术用品,Prang Dustless Chalk Sticks,打包纸袋,2013/4/2
29152,2015/7/23,谢语乔,低级,3,58.63,0,火车,-40.86,17.48,1.99,西南,四川,内江,技术产品,电脑配件,"Maxell Pro 80 Minute CD-R, 10/Pack",小型包裹,2015/7/27
29152,2015/7/23,谢语乔,低级,13,94.99,0.06,火车,-106.29,6.98,9.69,西南,重庆,重庆,办公用品,容器，箱子,Eldon Shelf Savers? Cubes and Bins,小型箱子,2015/7/23
29156,2014/2/24,朱海燕,低级,10,208.77,0.07,火车,-76.58,20.97,4,西南,西藏,拉萨,技术产品,电脑配件,Microsoft Internet Keyboard,小型箱子,2014/3/1
29158,2015/10/20,俞勇浩,高级,12,2266.7,0.07,大卡,180.8,200.98,23.76,华南,广西,北海,家具产品,椅子,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",巨型木箱,2015/10/21
29185,2014/1/20,谢国平,高级,8,468.49,0.03,火车,-6.37,56.96,13.22,华南,湖北,荆州,办公用品,家用电器,"Conquest? 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",小型箱子,2014/1/21
29185,2014/1/20,谢国平,高级,48,446.53,0.04,空运,-261.45,8.37,10.16,华南,河南,濮阳,家具产品,办公装饰品,Westinghouse Clip-On Gooseneck Lamps,大型箱子,2014/1/22
29185,2014/1/20,谢国平,高级,5,217.85,0.02,空运,-25.31,40.99,17.48,华南,广西,北海,办公用品,纸张,Xerox 1893,小型箱子,2014/1/22
29187,2013/7/31,刘波,低级,5,142.3,0.03,火车,-24.1845,24.92,12.98,华南,广西,北海,办公用品,夹子及其配件 ,GBC Standard Therm-A-Bind Covers,小型箱子,2013/8/4
29187,2013/7/31,刘波,低级,8,21.93,0.09,火车,-37.789,2.16,6.05,华南,河南,濮阳,办公用品,夹子及其配件 ,Peel & Stick Add-On Corner Pockets,小型箱子,2013/8/4
29187,2013/7/31,刘波,低级,35,26095.13,0.03,大卡,12606.81,808.49,55.3,华南,广西,北海,技术产品,办公机器,"Hewlett-Packard Business Color Inkjet 3000 [N, DTN] Series Printers",巨型木箱,2013/8/7
29187,2013/7/31,刘波,低级,10,75.58,0,火车,-43.26,6.48,8.19,华南,河南,濮阳,办公用品,纸张,Xerox 217,小型箱子,2013/8/7
29187,2013/7/31,刘波,低级,42,477.53,0.03,火车,51.17,10.98,3.37,华南,广西,北海,办公用品,剪刀，尺子，锯,Fiskars? Softgrip Scissors,小型包裹,2013/8/4
29191,2016/6/28,高微微,中级,26,7201.89,0.09,大卡,-650.11,296.18,54.12,华南,河南,濮阳,家具产品,桌子,Hon 94000 Series Round Tables,巨型纸箱,2016/6/29
29216,2016/12/29,王雨华,中级,46,1936.45,0.1,火车,307.17,43.22,4,华南,海南,三亚,技术产品,电脑配件,"Fellowes Mobile Numeric Keypad, Graphite",小型箱子,2016/12/30
29216,2016/12/29,王雨华,中级,17,3711.04,0.04,大卡,-773.78,218.75,69.64,华南,湖北,荆州,家具产品,桌子,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,巨型纸箱,2016/12/30
29218,2016/5/29,吴千郡,低级,19,1823.02,0.04,空运,80.8,92.23,39.61,华南,广西,北海,家具产品,办公装饰品,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",中型箱子,2016/5/29
29218,2016/5/29,吴千郡,低级,26,74.02,0.04,火车,8.13,2.88,0.7,华南,河南,濮阳,办公用品,笔、美术用品,Newell 340,打包纸袋,2016/5/29
29218,2016/5/29,吴千郡,低级,13,2252.976,0.02,火车,-54.362,205.99,8.99,华南,海南,三亚,技术产品,电话通信产品,Talkabout T8097,小型箱子,2016/5/31
29219,2013/4/10,洪小青,其它,29,203.4,0.04,火车,24.59,7.08,2.35,华南,海南,三亚,办公用品,笔、美术用品,SANFORD Major Accent? Highlighters,打包纸袋,2013/4/11
29220,2016/12/29,武骏,中级,36,12690.33,0.08,空运,5045.3025,367.99,19.99,华南,广西,北海,办公用品,夹子及其配件 ,Ibico Ibimaster 300 Manual Binding System,小型箱子,2016/12/29
29221,2016/5/29,李晗,高级,41,325.33,0,火车,-41.75,7.64,5.83,华南,海南,三亚,办公用品,纸张,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",打包纸袋,2016/6/1
29223,2016/1/20,赵瑛杰,高级,48,24701.12,0.04,大卡,8022.94,500.98,26,华南,海南,三亚,家具产品,椅子,Global Troy? Executive Leather Low-Back Tilter,巨型木箱,2016/1/22
29249,2015/6/13,徐艳,低级,12,3156.6,0.1,火车,454.26,276.2,24.49,华南,广西,北海,家具产品,椅子,SAFCO Arco Folding Chair,大型箱子,2015/6/17
29249,2015/6/13,徐艳,低级,47,302.69,0.05,空运,125.65,6.35,1.02,华南,广西,北海,办公用品,纸张,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",打包纸袋,2015/6/18
29252,2013/8/6,张玉嬿,低级,9,65.81,0.01,火车,-15.44,6.48,5.19,华南,海南,三亚,办公用品,纸张,Xerox 1995,小型箱子,2013/8/10
29255,2015/12/3,聂帅,低级,11,617.219,0.03,空运,-136.092,65.99,8.99,华南,湖南,衡阳,技术产品,电话通信产品,8260,小型箱子,2015/12/7
29280,2016/3/28,吕佳 ,中级,19,238.35,0,火车,-64.51,11.66,7.95,华南,广西,北海,办公用品,笔、美术用品,"Hunt BOSTON? Vista? Battery-Operated Pencil Sharpener, Black",小型包裹,2016/3/29
29280,2016/3/28,吕佳 ,中级,30,856.34,0.06,火车,248.91,28.38,1.99,华南,河南,濮阳,技术产品,电脑配件,Maxell 4.7GB DVD-R,小型包裹,2016/3/29
29282,2016/11/28,邵菁菁,中级,4,34.27,0.1,火车,-26.44,6.48,9.54,华东,福建,三明,办公用品,纸张,Xerox 1905,小型箱子,2016/11/30
29284,2013/4/10,唐晨,中级,20,6449.056,0.01,大卡,1116.02,400.98,42.52,华北,北京,北京 ,家具产品,桌子,Bretford CR8500 Series Meeting Room Furniture,巨型纸箱,2013/4/12
29286,2013/7/28,胡巴朗,中级,4,13070.2,0.07,大卡,-6923.5992,3502.14,8.73,华北,北京,北京 ,技术产品,办公机器,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,巨型纸箱,2013/7/30
29287,2013/7/2,包强,高级,50,281.39,0.1,火车,-106.398,5.74,5.01,华北,天津,天津 ,办公用品,夹子及其配件 ,Binder Posts,小型箱子,2013/7/4
29287,2013/7/2,包强,高级,49,12593.91,0.09,大卡,2699.67,270.97,28.06,华北,天津,天津 ,技术产品,办公机器,Epson LQ-570e Dot Matrix Printer,巨型木箱,2013/7/4
29317,2015/10/2,徐丽,其它,40,7789.63,0.08,大卡,1774.53,200.98,23.76,华北,天津,天津 ,家具产品,椅子,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",巨型木箱,2015/10/4
29317,2015/10/2,徐丽,其它,20,15703.82,0.06,大卡,3055.72,810.98,16.06,华北,北京,北京 ,技术产品,办公机器,Okidata ML591 Wide Format Dot Matrix Printer,巨型木箱,2015/10/3
29317,2015/10/2,徐丽,其它,31,140.69,0.06,火车,-14.54,4.71,0.7,西北,陕西,延安,办公用品,橡皮筋,Sterling Rubber Bands by Alliance,打包纸袋,2015/10/2
29318,2015/6/30,夏虎,其它,21,2954.14,0.04,空运,-522.94,138.14,35,西北,宁夏,吴忠,办公用品,容器，箱子,"SAFCO Commercial Wire Shelving, Black",大型箱子,2015/7/1
29318,2015/6/30,夏虎,其它,34,3375.3075,0.1,火车,562.131,125.99,8.08,西北,宁夏,吴忠,技术产品,电话通信产品,StarTAC ST7762,小型箱子,2015/7/1
29319,2013/1/24,吴祺丽,低级,30,6654.39,0.1,火车,1151.69,238.4,24.49,西北,甘肃,白银,家具产品,椅子,Safco Contoured Stacking Chairs,大型箱子,2013/1/26
29319,2013/1/24,吴祺丽,低级,21,4429.69,0.03,空运,983.55,199.99,24.49,西北,甘肃,白银,技术产品,复印机、传真机,Canon PC-428 Personal Copier,大型箱子,2013/1/26
29346,2013/8/16,马林,低级,2,29.06,0.1,火车,-16.15,11.58,6.97,西北,新疆,乌鲁木齐,办公用品,信封,"Peel & Seel? Recycled Catalog Envelopes, Brown",小型箱子,2013/8/20
29347,2016/8/12,王国宇,中级,50,2040.39,0.07,火车,221.09,40.99,19.99,西北,新疆,乌鲁木齐,办公用品,纸张,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",小型箱子,2016/8/14
29349,2014/6/10,夏牡丹 ,高级,46,2526.54,0.04,火车,772.11,65.99,2.5,西北,甘肃,白银,技术产品,电话通信产品,6000,小型箱子,2014/6/12
29349,2014/6/10,夏牡丹 ,高级,33,162.39,0.1,火车,-101.68,5.28,5.57,华东,浙江,衢州,办公用品,纸张,Xerox 1981,小型箱子,2014/6/12
29350,2013/8/25,赵丽,高级,47,2519.55,0.05,火车,592.5265,52.4,16.11,华东,浙江,衢州,办公用品,夹子及其配件 ,Ibico Laser Imprintable Binding System Covers,小型箱子,2013/8/27
29350,2013/8/25,赵丽,高级,10,150.33,0.1,火车,-47.88,15.14,4.53,华东,山东,烟台,办公用品,容器，箱子,Eldon? Gobal File Keepers,小型箱子,2013/8/28
29350,2013/8/25,赵丽,高级,46,1634.17,0.05,空运,232.8,36.55,13.89,华东,浙江,衢州,办公用品,笔、美术用品,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",打包纸袋,2013/8/26
29351,2015/10/3,刘珩,中级,17,5122.61,0.05,火车,1784.0395,304.99,19.99,华东,浙江,衢州,办公用品,夹子及其配件 ,Ibico Hi-Tech Manual Binding System,小型箱子,2015/10/5
29376,2016/8/11,赵爽,中级,20,2850.31,0.09,火车,569.08,155.06,7.07,华东,福建,三明,办公用品,容器，箱子,"Dual Level, Single-Width Filing Carts",小型箱子,2016/8/13
29380,2013/4/27,方小月,其它,13,150.13,0.09,火车,1.73,12.28,4.86,华东,上海,上海,办公用品,纸张,Xerox 1933,小型箱子,2013/4/28
29382,2014/11/17,谢文聪  ,高级,42,239.35,0.05,火车,78.96,5.68,1.39,华东,福建,三明,办公用品,信封,Staples Standard Envelopes,小型箱子,2014/11/20
29382,2014/11/17,谢文聪  ,高级,34,684.66,0.07,空运,35.09,19.98,10.49,华东,安徽,淮北,家具产品,办公装饰品,12-1/2 Diameter Round Wall Clock,小型箱子,2014/11/19
29383,2015/11/18,张婷莹,中级,20,157.13,0.07,火车,-46.89,8.32,2.38,华东,安徽,淮北,技术产品,电脑配件,"Imation 3.5 IBM Formatted Diskettes, 10/Box",小型包裹,2015/11/20
29383,2015/11/18,张婷莹,中级,28,195.11,0.04,火车,-129.42,6.48,8.73,华南,广东,惠州,办公用品,纸张,Xerox 227,小型箱子,2015/11/19
29383,2015/11/18,张婷莹,中级,29,2738.785,0.07,火车,556.83,115.99,2.5,华东,Jiangsu,泰州,技术产品,电话通信产品,DPC 650 Piper,小型箱子,2015/11/20
29383,2015/11/18,张婷莹,中级,30,217.42,0.09,火车,16.97,7.59,4,华东,Jiangsu,泰州,家具产品,办公装饰品,"Master Giant Foot? Doorstop, Safety Yellow",打包纸袋,2015/11/19
29408,2014/5/2,蒙晓平 ,其它,44,4260.73,0.07,大卡,251.58,119.99,56.14,华南,广东,惠州,技术产品,办公机器,Hewlett-Packard 2600DN Business Color Inkjet Printer,巨型纸箱,2014/5/3
29409,2015/1/13,李云峰,高级,23,38.99,0.09,火车,-33.52,1.7,1.99,华南,广东,惠州,技术产品,电脑配件,BASF Silver 74 Minute CD-R,小型包裹,2015/1/15
29410,2013/9/17,刘海军,中级,35,4186.53,0.04,火车,1929.58,120.97,7.11,华南,广东,惠州,技术产品,办公机器,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,中型箱子,2013/9/17
29410,2013/9/17,刘海军,中级,36,6057.27,0,火车,1585.503,195.99,4.2,华南,湖北,荆州,技术产品,电话通信产品,688,小型箱子,2013/9/19
29411,2016/4/6,姚纪鹏,高级,29,67.87,0.07,火车,-112.54,2.22,5,华南,广东,惠州,办公用品,家用电器,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,小型箱子,2016/4/7
29411,2016/4/6,姚纪鹏,高级,33,542.24,0.02,火车,268.53,15.67,1.39,华南,广东,惠州,办公用品,信封,"#10 White Business Envelopes,4 1/8 x 9 1/2",小型箱子,2016/4/7
29411,2016/4/6,姚纪鹏,高级,38,15174.95,0.02,大卡,7251.92,400.97,48.26,华南,广东,惠州,技术产品,办公机器,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,巨型纸箱,2016/4/6
29411,2016/4/6,姚纪鹏,高级,45,1084.12,0.04,火车,294.43,23.99,6.3,华南,广东,惠州,技术产品,办公机器,TI 36X Solar Scientific Calculator,中型箱子,2016/4/6
29445,2014/9/29,贺晓晨,高级,28,2531.35,0.09,大卡,415.55,90.97,28,华南,广东,惠州,技术产品,办公机器,Lexmark Z55se Color Inkjet Printer,巨型木箱,2014/10/1
29473,2016/2/15,余春涛,中级,40,13367.82,0,大卡,-774.890688,320.64,29.2,华南,广东,惠州,家具产品,桌子,Chromcraft 48" x 96" Racetrack Double Pedestal Table,巨型纸箱,2016/2/16
29473,2016/2/15,余春涛,中级,31,206.2865,0.05,火车,-111.98,7.99,5.03,华南,广东,惠州,技术产品,电话通信产品,Bell Sonecor JB700 Caller ID,中型箱子,2016/2/17
29475,2014/2/22,宋小俊,高级,49,235.12,0.09,火车,-29.62,4.91,3.05,华南,湖南,衡阳,家具产品,办公装饰品,Ultra Door Push Plate,小型包裹,2014/2/24
29475,2014/2/22,宋小俊,高级,2,1814.82,0,大卡,-1128.66,880.98,44.55,华南,广东,惠州,家具产品,书架,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",巨型纸箱,2014/2/25
29478,2014/4/9,闫洁,高级,15,272.8925,0.01,火车,19.611,20.99,0.99,华南,广东,江门,技术产品,电话通信产品,Accessory25,打包纸袋,2014/4/12
29504,2014/9/23,张旭,其它,20,1485.06,0.04,大卡,25.32,70.98,26.85,华南,广东,江门,家具产品,书架,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",巨型纸箱,2014/9/25
29504,2014/9/23,张旭,其它,34,1211.18,0.1,火车,208.4,38.76,13.26,华南,广东,江门,办公用品,纸张,Xerox 1892,小型箱子,2014/9/23
29505,2016/12/27,吕果 ,中级,22,45.21,0.02,空运,4.61,1.76,0.7,华南,广东,江门,办公用品,笔、美术用品,Newell 326,打包纸袋,2016/12/28
29506,2015/6/14,卢文聪  ,中级,46,221.13,0.01,火车,59.704,4.55,1.49,华南,广东,江门,办公用品,夹子及其配件 ,Presstex Flexible Ring Binders,小型箱子,2015/6/16
29506,2015/6/14,卢文聪  ,中级,8,16.35,0.05,火车,-5.6235,1.88,1.49,华南,广东,江门,办公用品,夹子及其配件 ,Staples? General Use 3-Ring Binders,小型箱子,2015/6/15
29507,2016/2/9,聂帅,低级,14,3049.632,0.04,大卡,-679.044366,280.98,35.67,华南,广东,江门,家具产品,桌子,Global Adaptabilities? Conference Tables,巨型纸箱,2016/2/11
29507,2016/2/9,聂帅,低级,41,1274.949,0.05,火车,416.988,35.99,1.1,华南,广东,江门,技术产品,电话通信产品,Accessory35,小型箱子,2016/2/14
29510,2015/4/15,周飞,中级,22,6123.94,0.01,大卡,1292.44,260.98,41.91,华南,广东,江门,家具产品,书架,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",巨型纸箱,2015/4/17
29536,2016/9/7,韦毅祥,中级,5,495.32,0.05,大卡,-72.73,100.98,15.66,华南,广东,江门,办公用品,家用电器,Avanti 1.7 Cu. Ft. Refrigerator,巨型木箱,2016/9/9
29536,2016/9/7,韦毅祥,中级,11,2483.53,0.07,大卡,-176.77,220.98,64.66,东北,辽宁,营口,家具产品,书架,"Bush Cubix Collection Bookcases, Fully Assembled",巨型纸箱,2016/9/9
29536,2016/9/7,韦毅祥,中级,26,967.41,0.03,火车,26.64,35.44,19.99,华南,河南,濮阳,办公用品,纸张,Xerox 1880,小型箱子,2016/9/9
29537,2016/9/19,鞠宇,低级,30,318.56,0.08,空运,-30.97,10.89,4.5,华南,河南,濮阳,办公用品,家用电器,Belkin 6 Outlet Metallic Surge Strip,小型箱子,2016/9/28
29539,2015/4/23,丁义 ,高级,24,223.2,0.1,火车,78.74,9.78,1.39,华北,北京,北京 ,办公用品,信封,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",小型箱子,2015/4/24
29569,2015/7/3,韦毅祥,高级,46,27720.98,0.07,火车,11984.395,599.99,24.49,华北,内蒙古,通辽,技术产品,复印机、传真机,Hewlett Packard LaserJet 3310 Copier,大型箱子,2015/7/4
29569,2015/7/3,韦毅祥,高级,29,520.13,0.1,火车,127.55,18.97,5.21,华北,山西,运城,办公用品,纸张,Xerox 1887,小型箱子,2015/7/5
29572,2014/6/3,罗晓娜,其它,18,2657.56,0.1,大卡,126.27855,150.98,16.01,华北,山西,运城,家具产品,桌子,Iceberg OfficeWorks 42" Round Tables,巨型纸箱,2014/6/4
29573,2016/1/16,王震环,中级,43,792.21,0.05,火车,42.24,18.97,9.54,东北,辽宁,营口,办公用品,纸张,Xerox 1939,小型箱子,2016/1/18
29607,2016/3/13,齐军,中级,20,240.74,0.05,火车,21.05,12.28,5.09,华南,广西,北海,办公用品,纸张,Xerox 1907,小型箱子,2016/3/15
29633,2013/6/22,卢文聪  ,中级,11,96.01,0.01,火车,-43.24,7.98,6.5,华南,河南,濮阳,办公用品,容器，箱子,Iris Project Case,中型箱子,2013/6/23
29637,2013/5/25,孙羽 ,高级,34,598.19,0.09,火车,-6.612,17.98,8.51,华南,河南,濮阳,技术产品,办公机器,Canon P1-DHIII Palm Printing Calculator,中型箱子,2013/5/27
29639,2015/4/17,陈鸿建 ,中级,8,22.37,0.04,火车,-14.09,2.6,2.4,华东,山东,烟台,办公用品,笔、美术用品,12 Colored Short Pencils,打包纸袋,2015/4/19
29666,2015/12/30,唐晨,其它,44,362.75,0.08,火车,-54.47,8.32,2.38,华东,浙江,衢州,技术产品,电脑配件,"Imation 3.5 IBM Formatted Diskettes, 10/Box",小型包裹,2016/1/1
29666,2015/12/30,唐晨,其它,29,155.86,0.09,火车,-152.59,5.28,8.16,华南,广东,江门,办公用品,纸张,Xerox 1963,小型箱子,2015/12/31
29667,2013/7/24,谢语晨,其它,14,215.31,0.09,火车,-51.75,15.28,10.91,华南,广东,江门,办公用品,夹子及其配件 ,Recycled Premium Regency Composition Covers,小型箱子,2013/7/25
29671,2014/3/22,包忠然,中级,43,1511.7,0.02,火车,221.63,34.99,7.73,华南,广西,北海,办公用品,笔、美术用品,Hunt Boston? Vacuum Mount KS Pencil Sharpener,小型箱子,2014/3/23
29700,2014/4/6,赵丽,中级,9,30.35,0.01,火车,5.02,3.08,0.99,西北,甘肃,白银,办公用品,标签,Avery 481,小型箱子,2014/4/7
29730,2014/6/16,齐军,中级,21,3072.86,0.08,大卡,-364.873366,150.98,39.25,华东,山东,烟台,家具产品,桌子,Iceberg OfficeWorks 42" Round Tables,巨型纸箱,2014/6/18
29761,2016/7/3,于丹,中级,48,1463.105,0.06,火车,446.994,35.99,1.25,华北,山西,运城,技术产品,电话通信产品,Accessory13,小型包裹,2016/7/4
29761,2016/7/3,于丹,中级,42,1085.4,0.02,火车,262.32,25.98,5.37,华北,内蒙古,通辽,办公用品,家用电器,3M Office Air Cleaner,中型箱子,2016/7/6
29761,2016/7/3,于丹,中级,19,123.67,0.03,火车,-34.17,6.24,5.22,华北,山西,运城,家具产品,办公装饰品,Eldon Expressions Mahogany Wood Desk Collection,小型箱子,2016/7/5
29762,2014/8/3,景珑,中级,15,22.45,0.03,火车,0.78,1.48,0.7,华北,内蒙古,通辽,办公用品,橡皮筋,Binder Clips by OIC,打包纸袋,2014/8/5
29762,2014/8/3,景珑,中级,33,3268.56,0.03,大卡,-1181.71,95.95,74.35,华北,内蒙古,通辽,家具产品,椅子,Bevis Steel Folding Chairs,巨型木箱,2014/8/4
29764,2016/7/22,刘湘琪,中级,10,165.09,0,空运,-8.5905,15.01,8.4,华北,山西,运城,办公用品,夹子及其配件 ,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",小型箱子,2016/7/23
29766,2013/3/21,杨肇辉,中级,13,89061.05,0,火车,27220.69,6783.02,24.49,华北,内蒙古,通辽,技术产品,办公机器,Polycom ViewStation? ISDN Videoconferencing Unit,大型箱子,2013/3/22
29766,2013/3/21,杨肇辉,中级,40,6636.664,0.08,火车,1623.699,205.99,8.99,华北,内蒙古,通辽,技术产品,电话通信产品,TimeportP7382,小型箱子,2013/3/21
29767,2015/2/5,陆成,高级,48,4153.06,0.06,火车,1499.41,90.24,0.99,华北,内蒙古,通辽,办公用品,家用电器,Kensington 6 Outlet MasterPiece? HOMEOFFICE Power Control Center,小型箱子,2015/2/6
29795,2015/11/25,赵正玉 ,高级,49,19325.2,0.05,火车,8793.539,387.99,19.99,华北,河北,保定,办公用品,夹子及其配件 ,Fellowes PB300 Plastic Comb Binding Machine,小型箱子,2015/11/26
29795,2015/11/25,赵正玉 ,高级,48,8380.22,0,大卡,813.83,160.98,35.02,华北,内蒙古,通辽,家具产品,书架,Rush Hierlooms Collection Rich Wood Bookcases,巨型纸箱,2015/11/26
29797,2014/6/26,谢江涛,高级,50,742.05,0.05,火车,-337.98,14.89,13.56,华北,山西,运城,家具产品,办公装饰品,Tensor Computer Mounted Lamp,大型箱子,2014/6/28
29826,2013/9/24,姚羽 ,中级,9,157.63,0.06,火车,-78.13,17.98,4,华北,内蒙古,通辽,技术产品,电脑配件,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",小型箱子,2013/9/25
29827,2015/7/14,韦毅祥,中级,35,926.65,0.01,火车,-75.38,26.31,5.89,东北,吉林,通化,技术产品,电脑配件,"Micro Innovations Micro 3000 Keyboard, Black",小型箱子,2015/7/15
29831,2016/3/29,李雪艳 ,中级,29,2175.22,0,大卡,-520.55,68.81,60,东北,辽宁,营口,办公用品,家用电器,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",巨型木箱,2016/3/30
29856,2016/6/8,闫玉红,中级,24,115.54,0.04,火车,43.35,4.98,0.8,东北,辽宁,营口,办公用品,纸张,Rediform S.O.S. Phone Message Books,打包纸袋,2016/6/11
29857,2013/12/12,张玉丽,中级,41,5572.92,0.07,大卡,-639.47,140.98,36.09,东北,辽宁,营口,家具产品,书架,"Sauder Forest Hills Library, Woodland Oak Finish",巨型纸箱,2013/12/14
29860,2013/9/13,邓娟,中级,48,8295.29,0.08,火车,2267.22,178.47,19.99,东北,辽宁,营口,办公用品,容器，箱子,"Hot File? 7-Pocket, Floor Stand",小型箱子,2013/9/16
29861,2016/4/25,夏东鹏 ,中级,11,35.17,0.03,火车,5.58,3.08,0.99,东北,辽宁,营口,办公用品,标签,Avery 481,小型箱子,2016/4/26
29862,2015/6/19,谢中明,中级,34,214.64,0.08,火车,-76.88,6.48,5.86,东北,辽宁,营口,办公用品,纸张,Xerox 1904,小型箱子,2015/6/21
29889,2013/12/4,蒋曦生,其它,44,243.5,0.09,火车,23.87,5.98,1.67,东北,吉林,通化,办公用品,笔、美术用品,"Dixon Ticonderoga? Erasable Colored Pencil Set, 12-Color",打包纸袋,2013/12/7
29893,2016/6/16,周庄,中级,24,5452.9,0.07,大卡,426.67,225.02,28.66,东北,黑龙江,伊春,办公用品,容器，箱子,Tennsco Double-Tier Lockers,巨型木箱,2016/6/17
29894,2014/9/7,黄丽丽,低级,43,606.98,0.05,火车,21.08,13.73,6.85,西南,贵州,安顺,家具产品,办公装饰品,DAX Wood Document Frame.,打包纸袋,2014/9/16
29894,2014/9/7,黄丽丽,低级,48,301.62,0.09,火车,-162.54,6.68,6.92,西南,四川,内江,办公用品,纸张,Xerox 1898,小型箱子,2014/9/16
29895,2014/10/20,程成,中级,43,7286.65,0.03,大卡,474.89,160.98,35.02,西南,四川,内江,家具产品,书架,Rush Hierlooms Collection Rich Wood Bookcases,巨型纸箱,2014/10/21
